publishedAt,title,sentiment,confidence,url
2025-06-11T19:54:22Z,Liquid Glass software interface: Get to know Apple’s new design language,positive,0.9973002,https://thegadgetflow.com/blog/liquid-glass-software-interface-meet-apples-new-design-language/
2025-06-11T19:53:39Z,"These old iPhones, Macs, and iPads won't run Apple's latest updates - did yours make the cut?",positive,0.99690837,https://www.zdnet.com/article/these-old-iphones-macs-and-ipads-wont-run-apples-latest-updates-did-yours-make-the-cut/
2025-06-11T19:52:20Z,Steve Jobs Would 'Have Fired Everyone': Apple's Liquid Glass In iOS 26 Gets Roasted Online — Dan Ives Calls WWDC 2025 A 'Yawner' - Yahoo Finance,positive,0.9948325,https://slashdot.org/firehose.pl?op=view&amp;id=178010767
2025-06-11T19:49:11Z,Apple made a haptic ‘F1’ trailer that you need to feel to believe,positive,0.9997292,https://www.macworld.com/article/2812246/apple-made-a-haptic-f1-trailer-that-you-need-to-feel-to-believe.html
2025-06-11T19:48:17Z,Apple quietly launches Container on GitHub to bring Linux development to macOS i,positive,0.9994081,https://slashdot.org/submission/17336855/apple-quietly-launches-container-on-github-to-bring-linux-development-to-macos-i
2025-06-11T19:44:48Z,"Liquid Glass on iOS 26 is stunning, it also sucks",neutral,0.88459384,https://www.phonearena.com/news/liquid-glass-ios-26-is-stunning-it-also-sucks_id171251
2025-06-11T19:43:51Z,Markdown and Menu Bars: How Apple Notes on iPadOS 26 has matured,negative,0.9991559,https://appleinsider.com/articles/25/06/11/markdown-and-menu-bars-how-apple-notes-on-ipados-26-has-matured
2025-06-11T19:43:32Z,Apple leads megacap losses,neutral,0.99740833,https://macdailynews.com/2025/06/11/apple-leads-megacap-losses/
2025-06-11T19:43:05Z,2014 Porsche Cayenne Diesel,positive,0.99999225,https://bringatrailer.com/listing/2014-porsche-cayenne-diesel-90/
2025-06-11T19:39:00Z,All of the new features coming to Apple’s iOS apps,negative,0.9365383,https://techcrunch.com/2025/06/11/all-of-the-new-features-coming-to-apples-ios-apps/
2025-06-11T19:38:28Z,"Kevin Durant trade rumors: Knicks not in pursuit of NBA superstar despite Suns hearing offers, per report",positive,0.9992816,https://www.cbssports.com/nba/news/kevin-durant-trade-rumors-knicks-not-in-pursuit-of-nba-superstar-despite-suns-hearing-offers-per-report/
2025-06-11T19:36:08Z,Brian Wilson Was A Foundational Influence On Modern Music,positive,0.8696021,https://uproxx.com/indie/brian-wilson-influence-music-obituary/
2025-06-11T19:35:10Z,Apple's AI Future In Question? Stock Falls After WWDC 2025 Event,positive,0.99885464,https://biztoc.com/x/1dccee34dd5984b0
2025-06-11T19:33:24Z,TSA warns passengers of little-known food and drink rules at security checkpoints as summer travel hits high gear,neutral,0.84431386,https://nypost.com/2025/06/11/lifestyle/tsa-warns-passengers-of-little-known-food-and-drink-rules/
2025-06-11T19:32:55Z,Jim Cramer Notes “It’s Been Hard to Own Apple Lately”,positive,0.9994062,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_ee3174f3-e87b-42c8-b52d-9844858fbbf3
2025-06-11T19:31:10Z,Apple Release New Linux Container Tool for macOS,positive,0.99918586,https://www.omgubuntu.co.uk/2025/06/apple-linux-container-tool-mac-developers
2025-06-11T19:22:12Z,Apple Card accused of gender discrimination in its algorithm,positive,0.973241,https://biztoc.com/x/61a3412056e806ae
2025-06-11T19:13:11Z,Apple executives say new AI-powered Siri wasn’t ‘demoware’ — it just wasn’t ready to ship - TechCrunch,positive,0.9999616,https://slashdot.org/firehose.pl?op=view&amp;id=178010525
2025-06-11T19:10:42Z,Air vs. liquid cooling for CPUs: We debated it with Gear Seekers,positive,0.99997544,https://www.pcworld.com/article/2812183/air-vs-liquid-cooling-for-cpus-we-debated-it-with-gear-seekers.html
2025-06-11T19:09:35Z,"Xcode 26 code raises hopes for a cheaper Vision Pro, but there’s probably nothing to see here",positive,0.9997956,https://www.macworld.com/article/2812159/xcode-26-code-raises-hopes-for-a-cheaper-vision-pro-but-theres-probably-nothing-to-see-here.html
2025-06-11T19:08:30Z,These iOS 26 features will only be available on newer iPhones,positive,0.9999161,https://9to5mac.com/2025/06/11/these-ios-26-features-will-only-be-available-on-newer-iphone-models/
2025-06-11T19:07:41Z,French President Rallies Behind Mistral-Nvidia Cloud Partnership,positive,0.8788179,http://www.pymnts.com/artificial-intelligence-2/2025/french-president-rallies-behind-mistral-nvidia-cloud-partnership/
2025-06-11T19:05:00Z,So...Is it Good?: BURY OUR BONES IN THE MIDNIGHT SOIL by V.E. Schwab,negative,0.98191327,https://bookriot.com/listen/bury-our-bones-in-the-midnight-soil-by-v-e-schwab/
2025-06-11T19:03:06Z,‘Classic Apple': Why Apple is taking the slow road with AI,neutral,0.9952798,https://finance.yahoo.com/news/classic-apple-why-apple-is-taking-the-slow-road-with-ai-190306633.html
2025-06-11T19:01:54Z,"RIP: Bill Atkinson, co-creator of Apple Lisa and Mac",positive,0.9999715,https://biztoc.com/x/2be58a5f9a26aa76
2025-06-11T19:01:02Z,watchOS 26 adds new wrist flick gesture for these Apple Watch models,positive,0.99986506,https://9to5mac.com/2025/06/11/watchos-26-adds-new-wrist-flick-gesture-for-these-apple-watch-models/
2025-06-11T19:01:00Z,Patch your Windows PC now before bootkit malware takes it over - here's how,positive,0.9991159,https://www.zdnet.com/article/patch-your-windows-pc-now-before-bootkit-malware-takes-it-over-heres-how/
2025-06-11T19:00:35Z,Windows Weekly 936: Liquid Aero,positive,0.9518693,https://twit.tv/shows/windows-weekly/episodes/936
2025-06-11T19:00:00Z,Apple Intelligence Is About to Face Its Toughest Test: Software Developers,neutral,0.9982492,https://uk.pcmag.com/ai/158551/apple-intelligence-is-about-to-face-its-toughest-test-software-developers
2025-06-11T19:00:00Z,Here’s What J.K. Rowling Has Actually Said About Trans People,positive,0.9999893,http://www.thecut.com/2025/06/heres-what-j-k-rowling-has-really-said-about-trans-people.html
2025-06-11T19:00:00Z,Apple Intelligence Is About to Face Its Toughest Test: Software Developers,neutral,0.9982492,https://me.pcmag.com/en/ai/30386/apple-intelligence-is-about-to-face-its-toughest-test-software-developers
2025-06-11T18:59:41Z,Feel the Speed With First-Ever Haptic Trailer for F1 Movie [VIDEO],positive,0.87291116,https://www.iphoneincanada.ca/2025/06/11/watch-haptic-trailer-for-f1-movie/
2025-06-11T18:58:13Z,"RIP: Bill Atkinson, co-creator of Apple Lisa and Mac",positive,0.99995434,https://www.theregister.com/2025/06/11/bill_atkinson_obituary/
2025-06-11T18:56:00Z,I Want Workout Buddy to Be More Boot Camp Trainer Than Cheerleader on the Apple Watch,positive,0.99985254,https://www.cnet.com/tech/mobile/i-want-workout-buddy-to-be-more-boot-camp-trainer-than-cheerleader-on-the-apple-watch/
2025-06-11T18:55:30Z,"Report: Google to Finalize Embrace Magnets, Qi 2 Wireless Charging",positive,0.9170029,https://www.droid-life.com/2025/06/11/report-google-to-finalize-embrace-magnets-qi-2-wireless-charging/
2025-06-11T18:53:58Z,Reba Meyers Releases New Single “Clouded World”,positive,0.99958485,https://www.metalsucks.net/2025/06/11/reba-meyers-releases-new-single-clouded-world/
2025-06-11T18:53:29Z,"Podcast Rewind: Chatting with Apple Design Award Winners, Favorite WWDC Announcements, and Transatlantic Tea Talk",positive,0.99988174,https://www.macstories.net/news/podcast-rewind-chatting-with-apple-design-award-winners-favorite-wwdc-announcements-and-transatlantic-tea-talk/
2025-06-11T18:47:46Z,iOS 26 Lets You Report Spam Voicemails,positive,0.99344504,https://www.macrumors.com/2025/06/11/ios-26-report-spam-voicemail/
2025-06-11T18:47:17Z,"iPadOS 26 Brings New Mac-Like Features, Multitasking to iPad [VIDEO]",positive,0.99312323,https://www.iphoneincanada.ca/2025/06/11/ipados-26-mac-like-features-multitasking/
2025-06-11T18:41:01Z,Google Pixel 10 series might finally copy this long-standing Apple feature,positive,0.99966776,https://www.gsmarena.com/google_pixel_10_series_might_finally_copy_this_longstanding_apple_feature-news-68216.php
2025-06-11T18:41:00Z,"Saints minicamp rolls on and we have questions, while LSU heads to Omaha on Dattitude Ep. 384",positive,0.99555343,https://www.theadvocate.com/baton_rouge/sports/betting/saints-minicamp-rolls-on-and-we-have-questions-while-lsu-heads-to-omaha-on-dattitude-ep-384/article_4b7c5fe0-5927-5bdc-b80c-495b4c6fc861.html
2025-06-11T18:40:46Z,"This AirTag alternative is now on sale, and it works with Android just as well",positive,0.9997204,https://www.zdnet.com/article/this-airtag-alternative-is-now-on-sale-and-it-works-with-android-just-as-well/
2025-06-11T18:40:06Z,New iPhone tools help parent keep kids safer online,negative,0.99805945,https://www.cultofmac.com/news/iphone-tools-parents-keep-kids-safe-online
2025-06-11T18:40:00Z, Soccer nation: The secrets behind the USA’s football revolution,positive,0.9999989,https://onefootball.com/en/news/soccer-nation-the-secrets-behind-the-usas-football-revolution-41234179
2025-06-11T18:37:38Z,China Is Set To Outpace the US in Clean Data Dominance | Opinion,negative,0.9999994,https://www.newsweek.com/china-set-outpace-us-clean-data-dominance-opinion-2084189
2025-06-11T18:36:53Z,"Yes, Taylor Swift eats fast food too — here’s the go-to spots she loves and exactly what she likes to order",positive,0.9971129,https://economictimes.indiatimes.com/news/international/us/yes-taylor-swift-eats-fast-food-too-heres-the-go-to-spots-she-loves-and-exactly-what-she-likes-to-order/articleshow/121786223.cms
2025-06-11T18:32:47Z,Apple TV+ is about art more than iPhone sales says Tim Cook,negative,0.999938,https://appleinsider.com/articles/25/06/11/apple-tv-is-about-art-more-than-iphone-sales-says-tim-cook
2025-06-11T18:32:15Z,Apple reveals new iOS 26 features and its Liquid Glass redesign at WWDC 2025 - Engadget,positive,0.9939084,https://slashdot.org/firehose.pl?op=view&amp;id=178010233
2025-06-11T18:28:55Z,Apple Lists 10 Airlines Set to Offer iOS 26's Upgraded Boarding Passes,negative,0.8723584,https://www.macrumors.com/2025/06/11/apple-wallet-enhanced-boarding-pass-airlines/
2025-06-11T18:28:34Z,"At WWDC, Apple says it will use AI to tag apps to improve discoverability on the App Store",positive,0.9999552,https://biztoc.com/x/eb7e98c9aaab3514
2025-06-11T18:28:01Z,Trump trumpets trade deal with China that's still terrible for Apple,neutral,0.5690607,https://appleinsider.com/articles/25/06/11/trump-trumpets-trade-deal-with-china-thats-still-terrible-for-apple
2025-06-11T18:27:52Z,"A24 movie based on viral found-footage horror videos adds Worst Person in the World actor to cast, taking the previously reported role of The Penguin star",positive,0.9999784,https://www.gamesradar.com/entertainment/horror-movies/a24-movie-based-on-viral-found-footage-horror-videos-adds-worst-person-in-the-world-actor-to-cast-taking-the-previously-reported-role-of-the-penguin-star/
2025-06-11T18:27:00Z,"Wait, I’m actually excited for these two Apple Intelligence features",negative,0.999995,https://mobilesyrup.com/2025/06/11/apple-intelligence-features-ios26-macos26-ipados26/
2025-06-11T18:26:05Z,Tim Cook: This is why we decided to do Apple TV+,positive,0.9999919,https://macdailynews.com/2025/06/11/tim-cook-this-is-why-we-decided-to-do-apple-tv/
2025-06-11T18:25:08Z,Apple Expands Child Safety Protections and Options for Parents,negative,0.80278414,https://www.phonescoop.com/articles/article.php?a=23544
2025-06-11T18:19:47Z,Haptic trailer for Apple TV+ movie F1 lets you feel the racing action,positive,0.9947189,https://www.cultofmac.com/news/haptic-trailer-f1-movie
2025-06-11T18:17:33Z,"At WWDC, Apple says it will use AI to tag apps to improve discoverability on the App Store",positive,0.9999552,https://techcrunch.com/2025/06/11/at-wwdc-apple-says-it-will-use-ai-to-tag-apps-to-improve-discoverability-on-the-app-store/
2025-06-11T18:15:47Z,"Chris Hutchins, Deal Master — Helping Tim Burn 15M+ Miles and Points, Flipping Costco Gold Into Five-Star Trips, Flying to Japan for $222, Tech Tools and Tricks, and Avoiding The Optimizer’s Curse (#815)",positive,0.9879332,https://tim.blog/2025/06/11/chris-hutchins-all-the-hacks/
2025-06-11T18:10:16Z,"AI Weekly: Apple plays it safe, OpenAI rakes it in",positive,0.9978719,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_df07b0ff-e304-41d3-8db9-586164671b81
2025-06-11T18:09:28Z,"Despite their rivalry, Steve Jobs defined his bond with Bill Gates using this Beatles lyric, and it might just melt your heart",positive,0.956035,https://economictimes.indiatimes.com/magazines/panache/despite-their-rivalry-steve-jobs-defined-his-bond-with-bill-gates-using-this-beatles-lyric-and-it-might-just-melt-your-heart/articleshow/121784999.cms
2025-06-11T18:08:55Z,Sun Valley 2025 Guest List: Who Is Invited to the ‘Billionaire Summer Camp?’,positive,0.99937516,https://observer.com/2025/06/sun-valley-2025-guest-list-who-is-invited-to-the-billionaire-summer-camp/
2025-06-11T18:06:43Z,Apple’s updated parental controls will require kids to get permission to text new numbers,positive,0.9995276,https://www.theverge.com/news/685582/apple-parental-controls-child-safety-features-permission-text
2025-06-11T18:03:00Z,"TSA confirms, new Apple tech will be a game-changer for travelers",negative,0.9999294,https://comecruisewith.com/tsa-confirms-new-apple-tech-will-be-a-game-changer-for-travelers-
2025-06-11T18:02:09Z,The 11-inch M3 iPad Air WiFi 128GB is $100 Off,positive,0.99760264,https://www.ilounge.com/news/ipad/the-11-inch-m3-ipad-air-wifi-128gb-is-100-off
2025-06-11T18:02:03Z,Modified 1977 Datsun 280Z 5-Speed,positive,0.99989414,https://bringatrailer.com/listing/1977-datsun-280z-132/
