company,negative,neutral,positive
ACHR,0,0,2
ADNOC,0,0,1
AI,0,1,0
Advice - Newish,0,0,1
Air India,0,0,1
Allocate,0,0,1
Amazon Business] Bambu Lab 3D Printers A1 Mini - $,0,0,1
Apple Tablet,0,0,1
Asus,0,1,0
BMW M3 Coupe 5-Speed,0,0,1
Blackwell,0,1,0
Boeing,1,1,3
CEM,0,0,1
CHYM,0,0,1
CNN,0,0,1
Champions League,0,1,0
Club World Cup,0,0,1
Coinbase,0,0,2
Costco,0,1,0
Daily Discussion & Fundamentals,0,0,1
Daily Discussion & Options,0,0,1
Daily General Discussion and Advice Thread - June,0,0,2
"Daily General Discussion and Advice Thread - June 13, 2025",0,0,1
Dow,1,0,0
EHA,0,1,0
EPA,1,0,0
EV,0,1,0
Fantasy Baseball Week 13,0,1,0
Giants,0,0,1
Gold Singapore Futures Following Launch,0,0,2
Google AI Overviews,0,0,2
HIMS,0,0,1
Honda,0,0,1
IPO,0,0,2
Kensington Prevost,0,0,1
Kinatico Ltd's,1,0,0
Law Enforcement Clarify,0,0,1
Lockheed,0,0,1
MCD,0,0,1
MG Motor’s,1,0,0
Mac,0,0,1
Meme Stocks,0,0,1
Meta Platforms,0,0,1
Mānuka honey,1,0,0
NASCAR,0,0,1
Nissan,0,0,2
Nvidia,0,0,1
Offerings,0,0,1
Oracle,0,1,0
Otsuka Pharmaceutical,0,0,1
Pop Mart,0,1,0
Revolutionary Health Platform at Your Fingertips,0,1,0
Rise,1,0,0
S&P500,0,0,1
Samsung,0,1,0
Sega selling Sonic,0,0,1
SiC,0,1,0
Solomon Technology,0,0,1
StubHub Pledges to Leave,0,0,1
Studio Turned,0,0,1
TACO Trade Overextended,1,0,0
Target Funds,0,1,0
Tesla,0,0,1
Tesla Robotaxi Launch Prediction,0,0,1
ToP,0,0,1
Trump,0,0,1
U.S. Uranium Production,0,1,0
UNH,0,0,1
USD,1,0,0
VOO,0,0,1
Visa,0,1,1
Volkswagen,0,0,1
deckgen,0,0,1
ex-NYC council,0,0,1
the Federal Reserve,0,0,1
the SEC Fair Fund,0,0,1
